Country Name,1990 elec,1991 elec,1992 elec,1993 elec,1994 elec,1995 elec,1996 elec,1997 elec,1998 elec,1999 elec,2000 elec,2001 elec,2002 elec,2003 elec,2004 elec,2005 elec,2006 elec,2007 elec,2008 elec,2009 elec,2010 elec,2011 elec,2012 elec,2013 elec,2014 elec,2015 elec,2016 elec,2017 elec,2018 elec,2019 elec,2020 elec,2021 elec,1990 urb,1991 urb,1992 urb,1993 urb,1994 urb,1995 urb,1996 urb,1997 urb,1998 urb,1999 urb,2000 urb,2001 urb,2002 urb,2003 urb,2004 urb,2005 urb,2006 urb,2007 urb,2008 urb,2009 urb,2010 urb,2011 urb,2012 urb,2013 urb,2014 urb,2015 urb,2016 urb,2017 urb,2018 urb,2019 urb,2020 urb,2021 urb
Aruba,100,99.153656,99.1971283,99.2399139,100,100,100,100,100,100,91.6604004,100,100,100,100,100,100,100,100,100,93.3562927,100,100,100,100,100,100,100,100,100,100,100,50.319,50.304,49.998,49.588,49.177,48.767,48.356,47.946,47.536,47.127,46.717,46.339,45.972,45.606,45.24,44.875,44.511,44.147,43.783,43.421,43.059,42.94,42.957,42.99,43.041,43.108,43.192,43.293,43.411,43.546,43.697,43.866
Africa Eastern and Southern,,,,,,,,,,,19.9579299,19.9862203,21.6015034,22.5483066,23.8158805,23.4811562,24.7499129,26.7515913,25.9139585,26.15136,27.4827343,28.9486279,31.6823177,31.6106919,31.8249496,33.7444046,38.733352,40.0921633,42.8809766,44.0739121,45.6096043,45.6096043,25.2027985,25.645146,26.0738739,26.5098232,26.9487089,27.3352882,27.6248973,27.9110722,28.2033753,28.4898678,28.7727799,29.0715908,29.3861903,29.6984193,30.0141481,30.3498685,30.6760655,30.9347664,31.3432413,31.7575262,32.181291,32.617692,33.0404736,33.4762079,33.9369593,34.4255807,34.8947499,35.3588983,35.8475957,36.3362575,36.8283008,37.3236975
Afghanistan,,,,,,,,,,,1.61359096,4.07457399,9.40915775,14.7385063,20.0649681,25.3908939,30.7186909,36.0510101,42.4000015,46.7400513,42.7000008,43.2220192,69.0999985,68.2906494,89.5,71.5,97.6999969,97.6999969,96.6161346,97.6999969,97.6999969,97.6999969,21.177,21.266,21.355,21.444,21.534,21.624,21.714,21.805,21.895,21.986,22.078,22.169,22.261,22.353,22.5,22.703,22.907,23.113,23.32,23.528,23.737,23.948,24.16,24.373,24.587,24.803,25.02,25.25,25.495,25.754,26.026,26.314
Africa Western and Central,,,,31.5751303,32.6096922,33.605668,32.6293222,32.4617967,33.4586299,34.8104285,34.10216,35.2168999,35.7345867,39.8462815,37.5388747,37.8330948,39.8432524,40.7895379,41.7510756,41.8139127,41.7998447,45.8963467,44.1374096,47.0293348,47.5871452,46.7509458,50.9313989,48.8350622,51.2385175,51.2602196,52.0820528,52.0820528,30.9705411,31.4103296,31.8374912,32.2591263,32.6662695,33.0672828,33.4740744,33.9278063,34.3932931,34.863518,35.3370494,35.944908,36.5548814,37.1733129,37.7989768,38.4344838,39.0793036,39.7215977,40.3605353,41.0015118,41.6471579,42.2882992,42.925885,43.5540939,44.180175,44.8058633,45.4250664,46.0394778,46.6494258,47.2554132,47.857831,48.4548063
Angola,,,,,,,,,,,24.2127438,20,26.3521175,27.4127769,28.4705505,29.5277863,30.586895,37.5,38.4900017,33.8021889,34.8956375,34.5999985,37.131321,38.2780304,32,42,41.8131294,43.0132599,45.2900009,45.6427994,46.8906097,46.8906097,37.144,38.58,40.039,41.511,43,44.169,45.346,46.525,47.71,48.897,50.087,51.274,52.461,53.645,54.827,56,56.764,57.524,58.282,59.034,59.783,60.528,61.268,62.002,62.731,63.446,64.149,64.839,65.514,66.177,66.825,67.46
Albania,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.9000015,100,99.9499969,99.9800034,99.8899994,99.8899994,100,100,100,100,36.428,36.7,37.249,37.799,38.354,38.911,39.473,40.035,40.601,41.169,41.741,42.435,43.501,44.573,45.651,46.731,47.815,48.902,49.991,51.076,52.163,53.247,54.33,55.387,56.423,57.434,58.421,59.383,60.319,61.229,62.112,62.969
Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,94.712,94.53,94.324,94.111,93.89,93.661,93.425,93.18,92.927,92.666,92.395,92.056,91.641,91.207,90.751,90.285,89.807,89.308,89.004,88.912,88.819,88.726,88.631,88.537,88.441,88.345,88.248,88.15,88.062,87.984,87.916,87.858
Arab World,,,,,,,76.9643258,77.6235207,78.5214088,79.1123196,81.1217776,81.9465843,81.9250773,82.9121357,82.8841937,83.6107259,85.8164649,84.122235,83.7960814,84.6641603,87.3751069,87.6000014,87.2875086,89.2967256,88.2820601,88.8911296,89.3542221,90.4460099,88.9162429,90.0075969,90.2343896,90.2343896,50.0744121,50.4711752,51.0190267,51.4348089,51.7024142,51.8985036,52.0919239,52.3161747,52.562001,52.8105259,53.0559974,53.3118011,53.5664328,53.8301621,54.0955225,54.4352231,54.8343004,55.1196683,55.5592924,55.9967569,56.3804176,56.6379951,56.8642214,57.1779738,57.5072608,57.8461531,58.1232554,58.37129,58.6295762,58.883817,59.087619,59.2948865
United Arab Emirates,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,79.051,78.906,78.76,78.614,78.467,78.319,78.493,78.938,79.378,79.81,80.236,80.655,81.067,81.472,81.871,82.262,82.648,83.023,83.387,83.742,84.087,84.423,84.749,85.066,85.375,85.674,85.965,86.248,86.522,86.789,87.048,87.299
Argentina,92.1548004,92.4921875,92.8294525,93.1660461,93.5012741,93.834465,94.1649399,94.492012,94.8150024,95.1331558,95.783287,95.5110626,96.2288666,96.4426346,96.6535034,96.8638458,97.0760574,97.2927933,97.5167542,97.7506561,98.8199997,99.0953522,99.2299805,99.3426743,100,99.6253891,99.8495789,100,99.9895782,100,100,100,86.984,87.328,87.542,87.752,87.96,88.164,88.366,88.564,88.759,88.952,89.142,89.329,89.51,89.686,89.86,90.031,90.2,90.366,90.53,90.691,90.849,90.99,91.121,91.249,91.377,91.503,91.627,91.749,91.87,91.991,92.111,92.229
