Country,Year,Electricity
Argentina,1990,92.1548004
Argentina,1991,92.4921875
Argentina,1992,92.8294525
Argentina,1993,93.1660461
Argentina,1994,93.5012741
Argentina,1995,93.834465
Argentina,1996,94.1649399
Argentina,1997,94.492012
Argentina,1998,94.8150024
Argentina,1999,95.1331558
Argentina,2000,95.783287
Argentina,2001,95.5110626
Argentina,2002,96.2288666
Argentina,2003,96.4426346
Argentina,2004,96.6535034
Argentina,2005,96.8638458
Argentina,2006,97.0760574
Argentina,2007,97.2927933
Argentina,2008,97.5167542
Argentina,2009,97.7506561
Argentina,2010,98.8199997
Argentina,2011,99.0953522
Argentina,2012,99.2299805
Argentina,2013,99.3426743
Argentina,2014,100
Argentina,2015,99.6253891
Argentina,2016,99.8495789
Argentina,2017,100
Argentina,2018,99.9895782
Argentina,2019,100
Argentina,2020,100
Argentina,2021,100
Bolivia,1990,
Bolivia,1991,
Bolivia,1992,60.0279007
Bolivia,1993,61.3840294
Bolivia,1994,64.1
Bolivia,1995,64.0915298
Bolivia,1996,71
Bolivia,1997,67.330431
Bolivia,1998,71.2
Bolivia,1999,70.929888
Bolivia,2000,69.9630432
Bolivia,2001,69.2585373
Bolivia,2002,63.9968567
Bolivia,2003,72.3000031
Bolivia,2004,75.9453049
Bolivia,2005,68.288208
Bolivia,2006,76.2112808
Bolivia,2007,80.1565704
Bolivia,2008,84.6749878
Bolivia,2009,86.7655945
Bolivia,2010,87.8863144
Bolivia,2011,88.3359451
Bolivia,2012,90.3873749
Bolivia,2013,89.5056839
Bolivia,2014,90.0387268
Bolivia,2015,91.5228195
Bolivia,2016,91.8000031
Bolivia,2017,91.8000031
Bolivia,2018,92.8000031
Bolivia,2019,95.0800018
Bolivia,2020,97.5541229
Bolivia,2021,97.5541229
Brazil,1990,87.475116
Brazil,1991,90.6065445
Brazil,1992,88.803833
Brazil,1993,89.999927
Brazil,1994,91.883728
Brazil,1995,91.728598
Brazil,1996,92.867095
Brazil,1997,93.354139
Brazil,1998,94.193812
Brazil,1999,94.76296
Brazil,2000,94.391716
Brazil,2001,96.0165253
Brazil,2002,96.6529922
Brazil,2003,96.9800949
Brazil,2004,96.7651062
Brazil,2005,97.0935135
Brazil,2006,97.5943146
Brazil,2007,98.1253815
Brazil,2008,98.5266266
Brazil,2009,98.8569412
Brazil,2010,98.5999985
Brazil,2011,99.3286896
Brazil,2012,99.5194931
Brazil,2013,99.5751495
Brazil,2014,99.6502457
Brazil,2015,99.7108994
Brazil,2016,99.6999969
Brazil,2017,99.8000031
Brazil,2018,99.6999969
Brazil,2019,99.8000031
Brazil,2020,100
Brazil,2021,100
Chile,1990,92.257427
Chile,1991,94.7816238
Chile,1992,94.560057
Chile,1993,95.2737274
Chile,1994,95.518074
Chile,1995,95.7603836
Chile,1996,95.617315
Chile,1997,96.2361679
Chile,1998,97.241124
Chile,1999,96.695549
Chile,2000,97.9386902
Chile,2001,97.1158066
Chile,2002,97.2836838
Chile,2003,98.7823257
Chile,2004,97.6060867
Chile,2005,97.7653122
Chile,2006,99.3681107
Chile,2007,98.0920181
Chile,2008,98.2648697
Chile,2009,99.5936584
Chile,2010,99.5383911
Chile,2011,99.5881958
Chile,2012,100
Chile,2013,99.5999985
Chile,2014,100
Chile,2015,99.7148438
Chile,2016,100
Chile,2017,99.6999969
Chile,2018,100
Chile,2019,100
Chile,2020,100
Chile,2021,100
Colombia,1990,89.9
Colombia,1991,91.8366547
Colombia,1992,92.1326599
Colombia,1993,92.4279938
Colombia,1994,92.721962
Colombia,1995,91.2
Colombia,1996,93.3031006
Colombia,1997,93.588913
Colombia,1998,93.8706436
Colombia,1999,94.1475296
Colombia,2000,95.1999969
Colombia,2001,98.4700012
Colombia,2002,94.9055023
Colombia,2003,95.1293488
Colombia,2004,95.3503113
Colombia,2005,96.8000031
Colombia,2006,95.7930298
Colombia,2007,96.0198441
Colombia,2008,96.8067627
Colombia,2009,96.0572281
Colombia,2010,96.7889938
Colombia,2011,96.6936035
Colombia,2012,97.0321732
Colombia,2013,97.7794189
Colombia,2014,97.7909393
Colombia,2015,98.1868973
Colombia,2016,98.4000015
Colombia,2017,98.5
Colombia,2018,98.5
Colombia,2019,99.7559204
Colombia,2020,100
Colombia,2021,100
Costa Rica,1990,
Costa Rica,1991,
Costa Rica,1992,
Costa Rica,1993,
Costa Rica,1994,
Costa Rica,1995,
Costa Rica,1996,
Costa Rica,1997,
Costa Rica,1998,
Costa Rica,1999,
Costa Rica,2000,96.9400024
Costa Rica,2001,98.2497787
Costa Rica,2002,98.5091858
Costa Rica,2003,98.6959
Costa Rica,2004,98.9547806
Costa Rica,2005,99.0530548
Costa Rica,2006,99.147522
Costa Rica,2007,99.2179947
Costa Rica,2008,99.2639389
Costa Rica,2009,99.4098053
Costa Rica,2010,98.9957352
Costa Rica,2011,99.2323456
Costa Rica,2012,99.5032959
Costa Rica,2013,99.5635147
Costa Rica,2014,99.3592911
Costa Rica,2015,99.4098053
Costa Rica,2016,99.5
Costa Rica,2017,99.5999985
Costa Rica,2018,99.6999969
Costa Rica,2019,99.7099991
Costa Rica,2020,99.9000015
Costa Rica,2021,99.9000015
Cuba,1990,
Cuba,1991,
Cuba,1992,
Cuba,1993,
Cuba,1994,
Cuba,1995,
Cuba,1996,
Cuba,1997,
Cuba,1998,
Cuba,1999,
Cuba,2000,97
Cuba,2001,96.2262573
Cuba,2002,95.5
Cuba,2003,96.513031
Cuba,2004,96.6509094
Cuba,2005,96.7882538
Cuba,2006,96.927475
Cuba,2007,97.0712128
Cuba,2008,97.2221832
Cuba,2009,97.3830948
Cuba,2010,97.5566483
Cuba,2011,97.7455673
Cuba,2012,97.9525528
Cuba,2013,98.1793671
Cuba,2014,98.4239883
Cuba,2015,98.6834564
Cuba,2016,98.9547882
Cuba,2017,99.2350311
Cuba,2018,99.5212097
Cuba,2019,99.8000031
Cuba,2020,100
Cuba,2021,100
Dominican Republic,1990,
Dominican Republic,1991,78.2
Dominican Republic,1992,82.485405
Dominican Republic,1993,83.2554932
Dominican Republic,1994,84.0242233
Dominican Republic,1995,84.7909088
Dominican Republic,1996,85.5548782
Dominican Republic,1997,86.3154449
Dominican Republic,1998,87.0719376
Dominican Republic,1999,91
Dominican Republic,2000,88.7649307
Dominican Republic,2001,89.7913589
